Episodes,Status,Studios,Genres,Ratings,Scores,Rank,Popularity,Members,Favorites,titles,SP
12,Finished Airing,AIC Build,Genre: Comedy,PG-13 - Teens 13 or older,6.99,3990,262,647602,4374,Ore no Imouto ga Konnani Kawaii Wake ga Nai,"['Crunchyroll', 'Funimation']"
24,Finished Airing,Studio Deen,"Action, Adventure, Fantasy, Supernatural",PG-13 - Teens 13 or older,6.45,6729,263,644118,1340,Nanatsu no Taizai: Kamigami no Gekirin,
12,Finished Airing,LIDENFILMS,"Action, Fantasy",R - 17+ (violence & profanity),7.15,3263,264,643224,3054,Rokudenashi Majutsu Koushi to Akashic Records,"['Crunchyroll', 'Funimation']"
12,Finished Airing,Studio Bind,"Drama, Fantasy, Ecchi",R - 17+ (violence & profanity),8.73,42,265,642222,15152,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,['Crunchyroll']
10,Finished Airing,Brain's Base,"Action, Comedy, Supernatural",PG-13 - Teens 13 or older,7.27,2646,266,641965,1975,Blood Lad,['Crunchyroll']
12,Finished Airing,Shuka,"Action, Drama",R - 17+ (violence & profanity),7.83,828,267,639466,7208,91 Days,['Crunchyroll']
12,Finished Airing,Shaft,"Comedy, Romance",PG-13 - Teens 13 or older,7.36,2185,268,639173,1772,Nisekoi:,['Crunchyroll']
13,Finished Airing,A-1 Pictures,"Comedy, Suspense",PG-13 - Teens 13 or older,9.13,2,269,638374,23104,Kaguya-sama wa Kokurasetai: Ultra Romantic,"['Crunchyroll', 'Funimation']"
13,Finished Airing,Gonzo,"Comedy, Fantasy, Romance, Ecchi",R+ - Mild Nudity,6.76,5048,270,638268,3289,Rosario to Vampire,"['Crunchyroll', 'Funimation']"
13,Finished Airing,SILVER LINK.,"Action, Fantasy",R - 17+ (violence & profanity),7.38,2095,271,636280,5156,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou","['Crunchyroll', 'Netflix']"
12,Finished Airing,Doga Kobo,Genre: Comedy,PG-13 - Teens 13 or older,7.12,3412,272,635362,4287,Himouto! Umaru-chan,['HIDIVE']
12,Finished Airing,Ajia-Do,"Comedy, Fantasy, Ecchi",PG-13 - Teens 13 or older,6.88,4463,273,634662,2388,Isekai Maou to Shoukan Shoujo no Dorei Majutsu,"['Crunchyroll', 'Funimation']"
24,Finished Airing,David Production,"Action, Supernatural",PG-13 - Teens 13 or older,7.79,898,274,634389,2501,Enen no Shouboutai: Ni no Shou,['Crunchyroll']
