Episodes,Status,Ratings,Scores,Rank,Popularity,Members,Favorites,titles,Genre,Studio
1,Finished Airing,R+ - Mild Nudity,8.16,363,212,731867,11550,Akira,Sci-Fi,TokyoMovieShinsha
1,Finished Airing,R+ - Mild Nudity,8.16,363,212,731867,11550,Akira,Supernatural,TokyoMovieShinsha
12,Finished Airing,R - 17+ (violence & profanity),7.26,2691,213,730534,3201,Koutetsujou no Kabaneri,Action,WitStudio
12,Finished Airing,R - 17+ (violence & profanity),7.26,2691,213,730534,3201,Koutetsujou no Kabaneri,Drama,WitStudio
12,Finished Airing,R - 17+ (violence & profanity),7.26,2691,213,730534,3201,Koutetsujou no Kabaneri,Fantasy,WitStudio
12,Finished Airing,R - 17+ (violence & profanity),7.26,2691,213,730534,3201,Koutetsujou no Kabaneri,Horror,WitStudio
12,Finished Airing,R - 17+ (violence & profanity),7.26,2691,213,730534,3201,Koutetsujou no Kabaneri,Supernatural,WitStudio
13,Finished Airing,PG-13 - Teens 13 or older,7.62,1305,214,730427,6245,Orange,Drama,TelecomAnimationFilm
13,Finished Airing,PG-13 - Teens 13 or older,7.62,1305,214,730427,6245,Orange,Romance,TelecomAnimationFilm
13,Finished Airing,PG-13 - Teens 13 or older,7.62,1305,214,730427,6245,Orange,Sci-Fi,TelecomAnimationFilm
43,Finished Airing,R - 17+ (violence & profanity),8.69,50,215,729411,23358,Great Teacher Onizuka,Comedy,Pierrot
43,Finished Airing,R - 17+ (violence & profanity),8.69,50,215,729411,23358,Great Teacher Onizuka,Drama,Pierrot
1,Finished Airing,G - All Ages,8.13,399,216,726162,5523,Toki wo Kakeru Shoujo,Drama,Madhouse
1,Finished Airing,G - All Ages,8.13,399,216,726162,5523,Toki wo Kakeru Shoujo,Romance,Madhouse
1,Finished Airing,G - All Ages,8.13,399,216,726162,5523,Toki wo Kakeru Shoujo,Sci-Fi,Madhouse
12,Finished Airing,R+ - Mild Nudity,7.43,1930,217,724091,3764,High School DxD BorN,Action,TNK
12,Finished Airing,R+ - Mild Nudity,7.43,1930,217,724091,3764,High School DxD BorN,Comedy,TNK
12,Finished Airing,R+ - Mild Nudity,7.43,1930,217,724091,3764,High School DxD BorN,Romance,TNK
12,Finished Airing,R+ - Mild Nudity,7.43,1930,217,724091,3764,High School DxD BorN,Ecchi,TNK
131,Finished Airing,PG-13 - Teens 13 or older,7.42,1942,218,720408,8999,Dragon Ball Super,Action,ToeiAnimation
131,Finished Airing,PG-13 - Teens 13 or older,7.42,1942,218,720408,8999,Dragon Ball Super,Adventure,ToeiAnimation
131,Finished Airing,PG-13 - Teens 13 or older,7.42,1942,218,720408,8999,Dragon Ball Super,Comedy,ToeiAnimation
131,Finished Airing,PG-13 - Teens 13 or older,7.42,1942,218,720408,8999,Dragon Ball Super,Fantasy,ToeiAnimation
24,Finished Airing,R - 17+ (violence & profanity),8.5,117,219,719639,26522,Banana Fish,Action,MAPPA
24,Finished Airing,R - 17+ (violence & profanity),8.5,117,219,719639,26522,Banana Fish,Adventure,MAPPA
24,Finished Airing,R - 17+ (violence & profanity),8.5,117,219,719639,26522,Banana Fish,Drama,MAPPA
12,Finished Airing,R - 17+ (violence & profanity),7.7,1103,220,719312,5675,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",Action,A-1Pictures
12,Finished Airing,R - 17+ (violence & profanity),7.7,1103,220,719312,5675,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",Adventure,A-1Pictures
12,Finished Airing,R - 17+ (violence & profanity),7.7,1103,220,719312,5675,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",Fantasy,A-1Pictures
25,Finished Airing,R - 17+ (violence & profanity),8.3,239,221,718691,21191,Shinsekai yori,Drama,A-1Pictures
25,Finished Airing,R - 17+ (violence & profanity),8.3,239,221,718691,21191,Shinsekai yori,Horror,A-1Pictures
25,Finished Airing,R - 17+ (violence & profanity),8.3,239,221,718691,21191,Shinsekai yori,Mystery,A-1Pictures
25,Finished Airing,R - 17+ (violence & profanity),8.3,239,221,718691,21191,Shinsekai yori,Sci-Fi,A-1Pictures
25,Finished Airing,R - 17+ (violence & profanity),8.3,239,221,718691,21191,Shinsekai yori,Supernatural,A-1Pictures
167,Finished Airing,PG-13 - Teens 13 or older,7.85,803,222,715842,16714,InuYasha,Action,Sunrise
167,Finished Airing,PG-13 - Teens 13 or older,7.85,803,222,715842,16714,InuYasha,Adventure,Sunrise
167,Finished Airing,PG-13 - Teens 13 or older,7.85,803,222,715842,16714,InuYasha,Comedy,Sunrise
167,Finished Airing,PG-13 - Teens 13 or older,7.85,803,222,715842,16714,InuYasha,Fantasy,Sunrise
167,Finished Airing,PG-13 - Teens 13 or older,7.85,803,222,715842,16714,InuYasha,Romance,Sunrise
167,Finished Airing,PG-13 - Teens 13 or older,7.85,803,222,715842,16714,InuYasha,Supernatural,Sunrise
12,Finished Airing,R+ - Mild Nudity,7.26,2710,223,715538,3575,Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,Comedy,J.C.Staff
12,Finished Airing,R+ - Mild Nudity,7.26,2710,223,715538,3575,Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,Ecchi,J.C.Staff
12,Finished Airing,R - 17+ (violence & profanity),8.2,324,224,709704,6160,Bungou Stray Dogs 2nd Season,Action,Bones
12,Finished Airing,R - 17+ (violence & profanity),8.2,324,224,709704,6160,Bungou Stray Dogs 2nd Season,Mystery,Bones
12,Finished Airing,R - 17+ (violence & profanity),8.2,324,224,709704,6160,Bungou Stray Dogs 2nd Season,Supernatural,Bones
12,Finished Airing,R - 17+ (violence & profanity),8.48,124,225,708199,11142,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,Drama,WhiteFox
12,Finished Airing,R - 17+ (violence & profanity),8.48,124,225,708199,11142,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,Fantasy,WhiteFox
12,Finished Airing,R - 17+ (violence & profanity),8.48,124,225,708199,11142,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,Suspense,WhiteFox
13,Finished Airing,PG-13 - Teens 13 or older,7.45,1866,226,704700,6444,K,Action,GoHands
13,Finished Airing,PG-13 - Teens 13 or older,7.45,1866,226,704700,6444,K,Mystery,GoHands
13,Finished Airing,PG-13 - Teens 13 or older,7.45,1866,226,704700,6444,K,Supernatural,GoHands
12,Finished Airing,PG-13 - Teens 13 or older,7.57,1438,227,703714,3823,Yamada-kun to 7-nin no Majo (TV),Comedy,LIDENFILMS
12,Finished Airing,PG-13 - Teens 13 or older,7.57,1438,227,703714,3823,Yamada-kun to 7-nin no Majo (TV),Mystery,LIDENFILMS
12,Finished Airing,PG-13 - Teens 13 or older,7.57,1438,227,703714,3823,Yamada-kun to 7-nin no Majo (TV),Romance,LIDENFILMS
12,Finished Airing,PG-13 - Teens 13 or older,7.57,1438,227,703714,3823,Yamada-kun to 7-nin no Majo (TV),Supernatural,LIDENFILMS
12,Finished Airing,R - 17+ (violence & profanity),7.62,1306,228,699484,2741,Owari no Seraph: Nagoya Kessen-hen,Action,WitStudio
12,Finished Airing,R - 17+ (violence & profanity),7.62,1306,228,699484,2741,Owari no Seraph: Nagoya Kessen-hen,Drama,WitStudio
12,Finished Airing,R - 17+ (violence & profanity),7.62,1306,228,699484,2741,Owari no Seraph: Nagoya Kessen-hen,Supernatural,WitStudio
12,Finished Airing,PG-13 - Teens 13 or older,8.36,190,229,696969,15378,Sono Bisque Doll wa Koi wo Suru,Romance,CloverWorks
12,Finished Airing,PG-13 - Teens 13 or older,8.36,190,229,696969,15378,Sono Bisque Doll wa Koi wo Suru,SliceofLife,CloverWorks
12,Finished Airing,PG-13 - Teens 13 or older,7.23,2848,230,694343,1889,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,Action,J.C.Staff
12,Finished Airing,PG-13 - Teens 13 or older,7.23,2848,230,694343,1889,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,Adventure,J.C.Staff
12,Finished Airing,PG-13 - Teens 13 or older,7.23,2848,230,694343,1889,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,Comedy,J.C.Staff
12,Finished Airing,PG-13 - Teens 13 or older,7.23,2848,230,694343,1889,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,Fantasy,J.C.Staff
12,Finished Airing,PG-13 - Teens 13 or older,7.23,2848,230,694343,1889,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,Romance,J.C.Staff
