Episodes,Status,Ratings,Scores,Rank,Popularity,Members,Favorites,titles,SP,Genre,Studio
25,Finished Airing,PG-13 - Teens 13 or older,8.01,560,71,1380460,25330,Tate no Yuusha no Nariagari,"['crunchyroll', 'funimation']","['action', 'adventure', 'drama', 'fantasy']",['kinemacitrus']
13,Finished Airing,R - 17+ (violence & profanity),8.29,248,72,1379370,32370,Fate/Zero,"['crunchyroll', 'funimation']","['action', 'fantasy', 'supernatural']",['ufotable']
12,Finished Airing,R+ - Mild Nudity,7.08,3593,73,1378425,9500,Highschool of the Dead,"['hidive', 'netflix']","['action', 'horror', 'supernatural', 'ecchi']",['madhouse']
51,Finished Airing,R - 17+ (violence & profanity),8.12,412,74,1371151,24849,Fullmetal Alchemist,['netflix'],"['action', 'adventure', 'drama', 'fantasy']",['bones']
10,Finished Airing,PG-13 - Teens 13 or older,8.28,253,75,1345461,11420,Kono Subarashii Sekai ni Shukufuku wo! 2,"['crunchyroll', 'netflix']","['adventure', 'comedy', 'fantasy']",['studiodeen']
13,Finished Airing,PG-13 - Teens 13 or older,8.17,359,76,1334587,11234,Noragami Aragoto,['crunchyroll'],"['action', 'fantasy']",['bones']
23,Finished Airing,PG-13 - Teens 13 or older,8.01,551,77,1316870,26622,Clannad,"['funimation', 'hidive']","['drama', 'romance', 'supernatural']",['kyotoanimation']
12,Finished Airing,R - 17+ (violence & profanity),7.26,2679,78,1312400,10015,Kakegurui,['netflix'],"['drama', 'mystery']",['mappa']
24,Finished Airing,R - 17+ (violence & profanity),8.12,411,79,1309028,29314,Durarara!!,"['funimation', 'netflix']","['action', 'mystery', 'supernatural']","[""brain'sbase""]"
15,Finished Airing,R - 17+ (violence & profanity),8.34,197,80,1299387,46722,Bakemonogatari,"['crunchyroll', 'funimation']","['mystery', 'romance', 'supernatural']",['shaft']
12,Finished Airing,R+ - Mild Nudity,7.34,2298,81,1296066,21112,High School DxD,"['funimation', 'netflix']","['comedy', 'romance', 'ecchi']",['tnk']
13,Finished Airing,PG-13 - Teens 13 or older,8.02,546,82,1287696,26829,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,"['hidive', 'shahid']","['comedy', 'romance']","[""brain'sbase""]"
13,Finished Airing,PG-13 - Teens 13 or older,8.81,28,83,1282517,29700,Mob Psycho 100 II,['crunchyroll'],"['action', 'comedy', 'supernatural']",['bones']
25,Finished Airing,PG-13 - Teens 13 or older,8.64,66,84,1272781,15207,Haikyuu!! Second Season,['crunchyroll'],['genre:sports'],['productioni.g']
25,Finished Airing,PG-13 - Teens 13 or older,8.5,113,85,1269209,16842,Ansatsu Kyoushitsu 2nd Season,"['crunchyroll', 'netflix']","['action', 'comedy']",['lerche']
22,Finished Airing,PG-13 - Teens 13 or older,8.09,457,86,1239964,25243,Hyouka,"['crunchyroll', 'funimation']","['mystery', 'sliceoflife']",['kyotoanimation']
12,Finished Airing,PG-13 - Teens 13 or older,7.72,1059,87,1239927,16909,Chuunibyou demo Koi ga Shitai!,"['crunchyroll', 'funimation']","['comedy', 'romance']",['kyotoanimation']
1,Finished Airing,R - 17+ (violence & profanity),8.65,63,88,1215019,12021,Kimetsu no Yaiba Movie: Mugen Ressha-hen,"['crunchyroll', 'netflix']","['action', 'fantasy']",['ufotable']
24,Finished Airing,PG-13 - Teens 13 or older,8.13,401,89,1209652,24800,Tensei shitara Slime Datta Ken,"['crunchyroll', 'funimation']","['action', 'adventure', 'comedy', 'fantasy']",['8bit']
12,Finished Airing,R - 17+ (violence & profanity),7.49,1704,90,1197493,12664,Owari no Seraph,"['funimation', 'netflix']","['action', 'drama', 'supernatural']",['witstudio']
13,Finished Airing,R - 17+ (violence & profanity),8.67,53,91,1181195,38817,Made in Abyss,"['hidive', 'netflix']","['adventure', 'drama', 'fantasy', 'mystery', 'sci-fi']",['kinemacitrus']
12,Finished Airing,R - 17+ (violence & profanity),7.82,850,92,1180536,22785,Bungou Stray Dogs,"['crunchyroll', 'funimation']","['action', 'comedy', 'mystery', 'supernatural']",['bones']
12,Finished Airing,PG-13 - Teens 13 or older,8.36,189,93,1175518,50177,Mahou Shoujo Madoka★Magica,"['crunchyroll', 'funimation']","['drama', 'suspense']",['shaft']
1,Finished Airing,G - All Ages,8.66,61,94,1161440,24378,Howl no Ugoku Shiro,['netflix'],"['adventure', 'drama', 'fantasy', 'romance']",['studioghibli']
24,Finished Airing,R - 17+ (violence & profanity),8.73,44,95,1159845,35087,Vinland Saga,[],"['action', 'adventure', 'drama']",['witstudio']
24,Finished Airing,PG-13 - Teens 13 or older,8.1,442,96,1151343,25794,Sakura-sou no Pet na Kanojo,"['hidive', 'netflix']","['drama', 'romance']",['j.c.staff']
12,Finished Airing,R - 17+ (violence & profanity),7.16,3216,97,1146612,6399,Deadman Wonderland,"['crunchyroll', 'funimation']","['action', 'horror', 'sci-fi', 'supernatural']",['manglobe']
26,Finished Airing,PG-13 - Teens 13 or older,8.01,557,98,1142566,21431,Kaichou wa Maid-sama!,"['crunchyroll', 'hidive']","['comedy', 'romance']",['j.c.staff']
12,Finished Airing,PG-13 - Teens 13 or older,8.65,62,99,1137330,18493,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,['crunchyroll'],['genre:comedy'],['a-1pictures']
22,Finished Airing,R - 17+ (violence & profanity),7.43,1916,100,1135452,16672,Guilty Crown,"['funimation', 'netflix']","['action', 'drama', 'sci-fi']",['productioni.g']
24,Finished Airing,PG-13 - Teens 13 or older,7.7,1119,101,1130953,8056,Enen no Shouboutai,"['crunchyroll', 'funimation']","['action', 'supernatural']",['davidproduction']
26,Finished Airing,R - 17+ (violence & profanity),8.5,117,102,1124181,34077,Samurai Champloo,"['crunchyroll', 'funimation']","['action', 'adventure', 'comedy']",['manglobe']
1,Finished Airing,PG-13 - Teens 13 or older,8.67,55,103,1121702,19312,Mononoke Hime,['netflix'],"['action', 'adventure', 'fantasy']",['studioghibli']
291,Finished Airing,PG-13 - Teens 13 or older,8.15,379,104,1116510,33827,Dragon Ball Z,['funimation'],"['action', 'adventure', 'comedy', 'fantasy']",['toeianimation']
13,Finished Airing,PG-13 - Teens 13 or older,7.99,579,105,1112603,16397,Kobayashi-san Chi no Maid Dragon,"['crunchyroll', 'funimation']","['fantasy', 'sliceoflife']",['kyotoanimation']
24,Finished Airing,PG-13 - Teens 13 or older,8.94,16,106,1098621,67148,Clannad: After Story,['shahid'],"['drama', 'romance', 'supernatural']",['kyotoanimation']
24,Finished Airing,R - 17+ (violence & profanity),7.68,1164,107,1085759,21451,Kuroshitsuji,"['funimation', 'netflix']","['action', 'comedy', 'mystery', 'supernatural']",['a-1pictures']
25,Finished Airing,PG-13 - Teens 13 or older,8.07,486,108,1085647,19996,Kuroko no Basket,"['crunchyroll', 'netflix']",['genre:sports'],['productioni.g']
13,Finished Airing,PG-13 - Teens 13 or older,8.21,320,109,1083828,28516,Horimiya,"['crunchyroll', 'funimation']",['genre:romance'],['cloverworks']
20,Finished Airing,PG-13 - Teens 13 or older,7.59,1382,110,1076865,10510,Nisekoi,"['crunchyroll', 'funimation']","['comedy', 'romance']",['shaft']
12,Finished Airing,PG-13 - Teens 13 or older,7.74,1021,111,1071728,11439,Kyoukai no Kanata,['hidive'],"['fantasy', 'sliceoflife', 'supernatural']",['kyotoanimation']
10,Finished Airing,PG-13 - Teens 13 or older,8.79,32,112,1064444,14713,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,"['crunchyroll', 'hidive']",['genre:sports'],['productioni.g']
24,Finished Airing,R - 17+ (violence & profanity),8.1,436,113,1056037,19581,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,"['crunchyroll', 'netflix']","['action', 'adventure', 'drama', 'supernatural']",['davidproduction']
11,Finished Airing,R - 17+ (violence & profanity),8.1,447,114,1050012,20522,Zankyou no Terror,"['crunchyroll', 'funimation']","['mystery', 'suspense']",['mappa']
24,Finished Airing,R - 17+ (violence & profanity),8.24,285,115,1046831,17622,Dororo,[],"['action', 'adventure', 'supernatural']","['tezukaproductions', 'mappa']"
13,Finished Airing,PG-13 - Teens 13 or older,8.11,426,116,1042381,3027,Shokugeki no Souma: Ni no Sara,"['hidive', 'netflix']","['gourmet', 'ecchi']",['j.c.staff']
12,Finished Airing,R - 17+ (violence & profanity),6.38,7149,117,1040202,3578,Tokyo Ghoul:re,"['crunchyroll', 'netflix']","['action', 'fantasy', 'horror']","['pierrot', 'pierrotplus']"
25,Finished Airing,PG-13 - Teens 13 or older,7.94,654,118,1034875,9989,Log Horizon,"['crunchyroll', 'funimation']","['action', 'adventure', 'fantasy']",['satelight']
26,Finished Airing,PG-13 - Teens 13 or older,8.16,370,119,1028138,31505,Ouran Koukou Host Club,"['crunchyroll', 'funimation']","['comedy', 'romance']",['bones']
12,Finished Airing,R - 17+ (violence & profanity),8.56,86,120,1023794,19608,Fate/Zero 2nd Season,"['crunchyroll', 'netflix']","['action', 'fantasy', 'supernatural']",['ufotable']
24,Finished Airing,PG-13 - Teens 13 or older,7.62,1293,121,1020804,3771,Nanatsu no Taizai: Imashime no Fukkatsu,[],"['action', 'adventure', 'fantasy', 'supernatural']",['a-1pictures']
