Episodes,Status,Studios,Genres,Ratings,Scores,Rank,Popularity,Members,Favorites,titles,SP
13,Finished Airing,Imagin,"Adventure, Fantasy, Romance",PG-13 - Teens 13 or older,8.23,297,204,"753,579","17,157",Ookami to Koushinryou,"['Funimation', 'Netflix']"
12,Finished Airing,Orange,"Drama, Slice of Life",R - 17+ (violence & profanity),7.87,748,205,"752,547","9,099",Beastars,['Netflix']
12,Finished Airing,CloverWorks,"Romance, Slice of Life",PG-13 - Teens 13 or older,8.32,223,206,"751,475","16,396",Sono Bisque Doll wa Koi wo Suru,"['Crunchyroll', 'Funimation']"
12,Finished Airing,Sunrise,Genre: Comedy,PG-13 - Teens 13 or older,8.24,283,207,"749,577","13,272",Danshi Koukousei no Nichijou,"['Crunchyroll', 'Funimation']"
26,Finished Airing,Studio Deen,"Horror, Mystery, Supernatural, Suspense",R - 17+ (violence & profanity),7.90,720,208,"748,643","20,106",Higurashi no Naku Koro ni,"['HIDIVE', 'Netflix']"
1,Finished Airing,Studio Chizu,"Fantasy, Slice of Life",G - All Ages,8.59,77,209,"748,588","10,718",Ookami Kodomo no Ame to Yuki,NA
1,Finished Airing,Brain's Base,"Drama, Romance, Supernatural",G - All Ages,8.30,236,210,"747,829","9,670",Hotarubi no Mori e,NA
1,Finished Airing,Tokyo Movie Shinsha,"Action, Adventure, Horror, Sci-Fi, Supernatural",R+ - Mild Nudity,8.16,364,211,"747,297","11,873",Akira,"['Funimation', 'Netflix']"
6,Finished Airing,"Gainax, Production I.G","Action, Avant Garde, Comedy, Sci-Fi",PG-13 - Teens 13 or older,8.02,536,212,"744,491","27,252",FLCL,['Funimation']
12,Finished Airing,"Kyoto Animation, Animation Do",Genre: Sports,PG-13 - Teens 13 or older,7.34,2292,213,"743,650","9,285",Free!,"['Crunchyroll', 'Funimation']"
13,Finished Airing,Telecom Animation Film,"Drama, Romance, Sci-Fi",PG-13 - Teens 13 or older,7.62,1295,214,"743,037","6,388",Orange,['Crunchyroll']
43,Finished Airing,Pierrot,"Comedy, Drama",R - 17+ (violence & profanity),8.69,51,215,"742,363","23,823",Great Teacher Onizuka,"['Crunchyroll', 'Netflix']"
12,Finished Airing,Wit Studio,"Action, Drama, Fantasy, Horror, Supernatural",R - 17+ (violence & profanity),7.26,2683,216,"740,827","3,267",Koutetsujou no Kabaneri,"['Crunchyroll', 'Netflix']"
24,Finished Airing,MAPPA,"Action, Adventure, Drama",R - 17+ (violence & profanity),8.50,114,217,"739,898","27,158",Banana Fish,NA
1,Finished Airing,Madhouse,"Drama, Romance, Sci-Fi",G - All Ages,8.13,402,218,"735,216","5,584",Toki wo Kakeru Shoujo,NA
131,Finished Airing,Toei Animation,"Action, Adventure, Comedy, Fantasy",PG-13 - Teens 13 or older,7.42,1970,219,"734,865","9,215",Dragon Ball Super,"['Crunchyroll', 'Funimation']"
12,Finished Airing,TNK,"Action, Comedy, Romance, Ecchi",R+ - Mild Nudity,7.43,1917,220,"734,328","3,794",High School DxD BorN,['Netflix']
12,Finished Airing,White Fox,"Drama, Fantasy, Suspense",R - 17+ (violence & profanity),8.47,127,221,"730,911","11,329",Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,"['Crunchyroll', 'Animax Asia']"
12,Finished Airing,A-1 Pictures,"Action, Adventure, Fantasy",R - 17+ (violence & profanity),7.70,1120,222,"729,417","5,777","Gate: Jieitai Kanochi nite, Kaku Tatakaeri","['HIDIVE', 'Netflix']"
25,Finished Airing,A-1 Pictures,"Drama, Horror, Mystery, Sci-Fi, Supernatural",R - 17+ (violence & profanity),8.30,239,223,"727,010","21,333",Shinsekai yori,"['Crunchyroll', 'HIDIVE']"
12,Finished Airing,Bones,"Action, Mystery, Supernatural",R - 17+ (violence & profanity),8.20,324,224,"726,858","6,279",Bungou Stray Dogs 2nd Season,"['Crunchyroll', 'Netflix']"
12,Finished Airing,J.C.Staff,"Comedy, Ecchi",R+ - Mild Nudity,7.25,2728,225,"726,705","3,611",Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,"['Funimation', 'Netflix']"
167,Finished Airing,Sunrise,"Action, Adventure, Comedy, Fantasy, Romance, Supernatural",PG-13 - Teens 13 or older,7.85,793,226,"726,205","16,977",InuYasha,"['Crunchyroll', 'Funimation']"
12,Finished Airing,LIDENFILMS,"Comedy, Mystery, Romance, Supernatural",PG-13 - Teens 13 or older,7.57,1457,227,"713,967","3,869",Yamada-kun to 7-nin no Majo,['Crunchyroll']
13,Finished Airing,GoHands,"Action, Mystery, Supernatural",PG-13 - Teens 13 or older,7.45,1840,228,"712,215","6,500",K,"['Crunchyroll', 'Netflix']"
12,Finished Airing,J.C.Staff,"Action, Adventure, Comedy, Fantasy, Romance",PG-13 - Teens 13 or older,7.23,2847,229,"711,875","1,932",Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,"['Crunchyroll', 'HIDIVE']"
12,Finished Airing,Wit Studio,"Action, Drama, Supernatural",R - 17+ (violence & profanity),7.62,1296,230,"711,376","2,794",Owari no Seraph: Nagoya Kessen-hen,NA
20,Finished Airing,Brain's Base,"Adventure, Drama, Supernatural",R - 17+ (violence & profanity),8.38,177,231,"709,165","12,122",Fumetsu no Anata e,"['Crunchyroll', 'Netflix']"
12,Finished Airing,Studio Deen,Genre: Comedy,PG-13 - Teens 13 or older,7.56,1489,232,"699,224","2,423",Sakamoto Desu ga?,"['HIDIVE', 'Shahid']"
25,Finished Airing,TMS Entertainment,"Drama, Fantasy, Romance",PG-13 - Teens 13 or older,8.22,304,233,"696,610","13,517",Fruits Basket 1st Season,"['Crunchyroll', 'Funimation']"
12,Finished Airing,OLM,Genre: Comedy,PG-13 - Teens 13 or older,8.00,571,234,"694,029","11,083","Komi-san wa, Comyushou desu.",['Netflix']
12,Finished Airing,A-1 Pictures,"Action, Fantasy",PG-13 - Teens 13 or older,7.36,2204,235,"689,760","1,511",Ao no Exorcist: Kyoto Fujouou-hen,['Crunchyroll']
12,Finished Airing,MAPPA,"Drama, Mystery",R - 17+ (violence & profanity),7.20,2995,236,"687,578","1,885",Kakegurui××,NA
11,Finished Airing,Shaft,"Comedy, Mystery, Supernatural, Ecchi",R - 17+ (violence & profanity),8.15,374,237,"686,286","3,795",Nisemonogatari,"['Crunchyroll', 'Funimation']"
12,Finished Airing,Lerche,"Comedy, Fantasy, Romance, Ecchi",R+ - Mild Nudity,6.99,3985,238,"684,929","3,733",Monster Musume no Iru Nichijou,['HIDIVE']
25,Finished Airing,Production I.G,Genre: Sports,PG-13 - Teens 13 or older,8.31,231,239,"682,981","4,861",Kuroko no Basket 3rd Season,"['Crunchyroll', 'Netflix']"
12,Finished Airing,Production I.G,Genre: Sports,PG-13 - Teens 13 or older,8.54,93,240,"681,283","5,670",Haikyuu!! To the Top Part 2,['Crunchyroll']
12,Finished Airing,Kyoto Animation,"Comedy, Romance",PG-13 - Teens 13 or older,7.55,1523,241,"679,586","2,431",Chuunibyou demo Koi ga Shitai! Ren,['HIDIVE']
12,Finished Airing,Trigger,"Drama, Romance, Sci-Fi",PG-13 - Teens 13 or older,7.39,2074,242,"677,389","4,708",Kiznaiver,['Crunchyroll']
24,Finished Airing,Sunrise,"Action, Romance, Sci-Fi",PG-13 - Teens 13 or older,7.24,2765,243,"675,731","3,824",Accel World,"['Crunchyroll', 'Funimation']"
26,Finished Airing,Madhouse,"Action, Adventure, Comedy, Drama, Sci-Fi",PG-13 - Teens 13 or older,8.22,310,244,"674,863","13,633",Trigun,"['Crunchyroll', 'Funimation']"
12,Finished Airing,Telecom Animation Film,Genre: Comedy,PG-13 - Teens 13 or older,7.36,2217,245,"667,745","8,294","Ijiranaide, Nagatoro-san","['Crunchyroll', 'Anime Digital Network']"
24,Finished Airing,Gonzo,"Comedy, Drama, Romance",R+ - Mild Nudity,8.32,220,246,"665,988","24,006",NHK ni Youkoso!,['Funimation']
12,Finished Airing,Zero-G,Genre: Comedy,PG-13 - Teens 13 or older,8.43,149,247,"664,536","16,869",Grand Blue,NA
12,Finished Airing,A-1 Pictures,"Action, Adventure, Drama, Fantasy",PG-13 - Teens 13 or older,7.65,1218,248,"663,542","5,649",Hai to Gensou no Grimgar,"['Crunchyroll', 'Netflix']"
1,Finished Airing,Bones,Genre: Action,PG-13 - Teens 13 or older,7.58,1420,249,"661,993","1,329",Boku no Hero Academia the Movie 1: Futari no Hero,"['Crunchyroll', 'Netflix']"
1,Finished Airing,A-1 Pictures,"Action, Adventure, Fantasy",R+ - Mild Nudity,7.57,1452,250,"661,050","3,387",Sword Art Online Movie: Ordinal Scale,"['Crunchyroll', 'Netflix']"
1,Finished Airing,J.C.Staff,"Adventure, Comedy, Fantasy",PG-13 - Teens 13 or older,8.46,129,251,"660,895","4,414",Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,['Crunchyroll']
12,Finished Airing,A-1 Pictures,"Comedy, Drama, Romance, Ecchi",PG-13 - Teens 13 or older,6.38,7095,252,"660,714","2,673",Eromanga-sensei,"['Crunchyroll', 'Funimation']"
13,Finished Airing,Gonzo,"Action, Horror, Supernatural",R - 17+ (violence & profanity),7.49,1725,253,"659,931","5,596",Hellsing,"['Crunchyroll', 'Funimation']"
13,Finished Airing,Triangle Staff,"Avant Garde, Drama, Mystery, Sci-Fi, Supernatural",R - 17+ (violence & profanity),8.07,473,254,"659,302","22,999",Serial Experiments Lain,"['Crunchyroll', 'Funimation']"
4,Finished Airing,A-1 Pictures,"Action, Adventure, Fantasy",PG-13 - Teens 13 or older,7.00,3963,255,"654,733",767,Nanatsu no Taizai: Seisen no Shirushi,NA
12,Finished Airing,A-1 Pictures,"Action, Adventure, Fantasy",R - 17+ (violence & profanity),7.58,1402,256,"654,669","3,374",Sword Art Online: Alicization - War of Underworld,['Crunchyroll']
12,Finished Airing,Studio Gokumi,"Comedy, Romance",PG-13 - Teens 13 or older,7.58,1406,257,"654,197","2,552",Tsurezure Children,"['Crunchyroll', 'Funimation']"
12,Finished Airing,Diomedéa,"Drama, Romance",R+ - Mild Nudity,6.69,5373,258,"651,274","5,299",Domestic na Kanojo,"['Crunchyroll', 'HIDIVE']"
12,Finished Airing,CloverWorks,"Drama, Fantasy",R - 17+ (violence & profanity),7.69,1138,259,"651,006","8,433",Wonder Egg Priority,"['Crunchyroll', 'Funimation']"
12,Finished Airing,J.C.Staff,"Gourmet, Ecchi",PG-13 - Teens 13 or older,7.98,591,260,"650,393","1,387",Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,"['Crunchyroll', 'Netflix']"
103,Finished Airing,TMS Entertainment,"Action, Adventure, Comedy",PG-13 - Teens 13 or older,8.02,534,261,"649,775","13,285",D.Gray-man,"['Crunchyroll', 'Funimation']"
12,Finished Airing,AIC Build,Genre: Comedy,PG-13 - Teens 13 or older,6.99,3990,262,"647,602","4,374",Ore no Imouto ga Konnani Kawaii Wake ga Nai,"['Crunchyroll', 'Funimation']"
24,Finished Airing,Studio Deen,"Action, Adventure, Fantasy, Supernatural",PG-13 - Teens 13 or older,6.45,6729,263,"644,118","1,340",Nanatsu no Taizai: Kamigami no Gekirin,NA
12,Finished Airing,LIDENFILMS,"Action, Fantasy",R - 17+ (violence & profanity),7.15,3263,264,"643,224","3,054",Rokudenashi Majutsu Koushi to Akashic Records,"['Crunchyroll', 'Funimation']"
12,Finished Airing,Studio Bind,"Drama, Fantasy, Ecchi",R - 17+ (violence & profanity),8.73,42,265,"642,222","15,152",Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,['Crunchyroll']
10,Finished Airing,Brain's Base,"Action, Comedy, Supernatural",PG-13 - Teens 13 or older,7.27,2646,266,"641,965","1,975",Blood Lad,['Crunchyroll']
12,Finished Airing,Shuka,"Action, Drama",R - 17+ (violence & profanity),7.83,828,267,"639,466","7,208",91 Days,['Crunchyroll']
12,Finished Airing,Shaft,"Comedy, Romance",PG-13 - Teens 13 or older,7.36,2185,268,"639,173","1,772",Nisekoi:,['Crunchyroll']
13,Finished Airing,A-1 Pictures,"Comedy, Suspense",PG-13 - Teens 13 or older,9.13,2,269,"638,374","23,104",Kaguya-sama wa Kokurasetai: Ultra Romantic,"['Crunchyroll', 'Funimation']"
13,Finished Airing,Gonzo,"Comedy, Fantasy, Romance, Ecchi",R+ - Mild Nudity,6.76,5048,270,"638,268","3,289",Rosario to Vampire,"['Crunchyroll', 'Funimation']"
13,Finished Airing,SILVER LINK.,"Action, Fantasy",R - 17+ (violence & profanity),7.38,2095,271,"636,280","5,156","Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou","['Crunchyroll', 'Netflix']"
12,Finished Airing,Doga Kobo,Genre: Comedy,PG-13 - Teens 13 or older,7.12,3412,272,"635,362","4,287",Himouto! Umaru-chan,['HIDIVE']
12,Finished Airing,Ajia-Do,"Comedy, Fantasy, Ecchi",PG-13 - Teens 13 or older,6.88,4463,273,"634,662","2,388",Isekai Maou to Shoukan Shoujo no Dorei Majutsu,"['Crunchyroll', 'Funimation']"
24,Finished Airing,David Production,"Action, Supernatural",PG-13 - Teens 13 or older,7.79,898,274,"634,389","2,501",Enen no Shouboutai: Ni no Shou,['Crunchyroll']
26,Finished Airing,Kyoto Animation,Genre: Comedy,PG-13 - Teens 13 or older,8.17,363,275,"634,230","13,792",K-On!!,['HIDIVE']
26,Finished Airing,Madhouse,"Action, Adventure, Fantasy, Supernatural",R+ - Mild Nudity,7.75,976,276,"624,344","7,943",Claymore,"['Crunchyroll', 'Funimation']"
12,Finished Airing,feel.,"Comedy, Romance",PG-13 - Teens 13 or older,8.38,180,277,"624,125","12,849",Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,['Crunchyroll']
